year,month,country,num_sources,num_articles,total_words
2013,1,SG,21,485,180825
2013,1,TZ,4,200,100098
2013,1,US,1279,8476,7759623
2013,1,ZA,55,2740,1731137
2013,2,AU,157,2813,1891991
2013,2,BD,6,253,152652
2013,2,CA,310,8481,6090952
2013,2,GB,569,7727,5155488
2013,2,GH,5,350,222736
2013,2,HK,13,71,47777
2013,2,IE,57,2246,1261782
2013,2,IN,150,5201,2938399
2013,2,JM,4,404,275350
2013,2,KE,16,676,336387
2013,2,LK,12,75,50600
2013,2,MY,14,446,288993
2013,2,NG,21,728,606391
2013,2,NZ,43,1486,775119
2013,2,PH,18,1081,600666
2013,2,PK,23,980,611987
2013,2,SG,21,486,192423
2013,2,TZ,4,176,108040
2013,2,US,1216,7499,6951969
2013,2,ZA,62,2897,1832649
2013,3,AU,175,3174,2145362
2013,3,BD,4,189,87301
2013,3,CA,350,8598,6295676
2013,3,GB,604,8537,5705707
2013,3,GH,5,391,235531
2013,3,HK,15,114,85731
2013,3,IE,59,3162,1784857
2013,3,IN,170,5561,3346974
2013,3,JM,3,414,281840
2013,3,KE,17,810,401419
2013,3,LK,12,113,53696
2013,3,MY,12,550,354516
2013,3,NG,22,809,683587
2013,3,NZ,53,1610,856495
2013,3,PH,23,1339,732450
2013,3,PK,25,924,534583
2013,3,SG,23,627,241172
2013,3,TZ,3,193,116371
2013,3,US,1383,8194,7693697
2013,3,ZA,71,3465,2207594
2013,4,AU,181,3644,2413602
2013,4,BD,7,200,109921
2013,4,CA,336,8159,5931773
2013,4,GB,544,7507,4967970
2013,4,GH,6,385,224849
2013,4,HK,14,104,76101
2013,4,IE,60,2831,1594763
2013,4,IN,174,5737,3289344
2013,4,JM,3,425,282043
2013,4,KE,15,857,417479
2013,4,LK,12,130,53074
2013,4,MY,16,445,278334
2013,4,NG,27,842,709314
2013,4,NZ,53,1802,973838
2013,4,PH,27,1511,848992
2013,4,PK,24,950,560135
2013,4,SG,27,731,271355
2013,4,TZ,2,211,114302
2013,4,US,1360,7571,6968856
2013,4,ZA,67,3654,2255815
2013,5,AU,178,4266,2782074
2013,5,BD,8,379,211688
2013,5,CA,354,9021,6459616
2013,5,GB,565,8324,5462046
2013,5,GH,5,400,207082
2013,5,HK,18,178,95371
2013,5,IE,67,3546,1984065
2013,5,IN,169,6307,3647892
2013,5,JM,3,429,296410
2013,5,KE,16,889,426177
2013,5,LK,10,121,46362
2013,5,MY,17,524,321931
2013,5,NG,26,950,743894
2013,5,NZ,55,1908,1013586
2013,5,PH,25,1501,841841
2013,5,PK,29,984,607598
2013,5,SG,25,895,332685
2013,5,TZ,4,227,123594
2013,5,US,1378,8361,7922476
2013,5,ZA,69,3938,2489875
2013,6,AU,175,3795,2542871
2013,6,BD,8,439,241941
2013,6,CA,349,7742,5599070
2013,6,GB,552,7040,4732415
2013,6,GH,8,420,227568
2013,6,HK,17,95,62350
2013,6,IE,66,3126,1743746
2013,6,IN,173,5172,3044083
2013,6,JM,4,442,297325
2013,6,KE,13,867,421786
2013,6,LK,11,151,82774
2013,6,MY,14,662,372731
2013,6,NG,26,921,717361
2013,6,NZ,54,1808,958017
2013,6,PH,28,1605,875603
2013,6,PK,26,910,588707
2013,6,SG,26,847,321347
2013,6,TZ,4,202,125337
2013,6,US,1275,7098,6640316
2013,6,ZA,61,3620,2317459
2013,7,AU,188,4101,2707332
2013,7,BD,6,540,287830
2013,7,CA,358,7314,5263281
2013,7,GB,548,7803,5000021
2013,7,GH,8,521,305409
2013,7,HK,18,136,87178
2013,7,IE,64,3391,1836425
2013,7,IN,163,5295,3158394
2013,7,JM,3,405,267184
2013,7,KE,16,924,422307
2013,7,LK,15,150,71744
2013,7,MY,19,811,467944
2013,7,NG,25,1037,838911
2013,7,NZ,51,1995,1038514
2013,7,PH,29,1871,1018725
2013,7,PK,26,960,609304
2013,7,SG,29,743,305800
2013,7,TZ,2,217,115668
2013,7,US,1237,6565,6199295
2013,7,ZA,67,3966,2482548
2013,8,AU,192,4255,2859515
2013,8,BD,6,522,313166
2013,8,CA,339,7860,5678057
2013,8,GB,483,8196,5371247
2013,8,GH,8,483,283129
2013,8,HK,17,136,98116
2013,8,IE,71,3993,2193010
2013,8,IN,172,5433,3226979
2013,8,JM,3,393,250328
2013,8,KE,15,752,333494
2013,8,LK,13,134,55472
2013,8,MY,17,954,574743
2013,8,NG,30,1038,855807
2013,8,NZ,60,1136,598671
2013,8,PH,29,1762,931207
2013,8,PK,23,944,574890
2013,8,SG,27,661,277091
2013,8,TZ,3,210,114827
2013,8,US,1332,7661,7198201
2013,8,ZA,67,4178,2636386
2013,9,AU,191,4404,3102195
